Deploy,Subject,Status,Previous inputs,New inputs,Previous unit,New unit,Explanation
August,Naphtha,New,-,volume_of_baseload_export_naphtha,-,PJ,Baseload export of naphtha added
August,Naphtha,New,-,industry_chemicals_other_burner_naphtha_share,-,%,Energetic final demand of naphtha added to chemical other industry
August,Naphtha,New,-,industry_chemicals_other_naphtha_non_energetic_share,-,%,Non-energetic final demand of naphtha added to chemical other industry
August,Modifiable profiles,Changed,-,-,-,-,"Profiles with type 'capacity profile' are now downloaded in the same format as they should be uploaded (sum tothe  total number of full load hours). Previously, a normalised profile was obtained. "
June,Households appliances efficiency,New,-,households_appliances_electricity_efficiency,-,%,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_clothes_dryer_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_computer_media_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_dishwasher_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_fridge_freezer_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_other_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_television_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_vacuum_cleaner_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households appliances efficiency,Removed,households_appliances_washing_machine_electricity_efficiency,-,%,-,Inputs per application are replaced by a single input for overall efficiency improvements of appliances
June,Households behaviour,Removed,households_behavior_low_temperature_washing,-,%,-,Redundant behaviour sliders are removed
June,Households behaviour,Removed,households_behavior_standby_killer_turn_off_appliances,-,%,-,Redundant behaviour sliders are removed
June,Households behaviour,Removed,households_behavior_turn_off_the_light,-,%,-,Redundant behaviour sliders are removed
June,Custom profiles,Changed,flh_of_hydro_river,flh_of_hydro_river_user_curve,hours,hours,"Changed input is introduced with a bug fix in custom profile upload. This input is automatically set when a custom profile is uploaded, and should thus not be set manually."
June,Custom profiles,Changed,flh_of_solar_thermal,flh_of_solar_thermal_user_curve,hours,hours,"Changed input is introduced with a bug fix in custom profile upload. This input is automatically set when a custom profile is uploaded, and should thus not be set manually."
June,Custom profiles,Removed,flh_of_geothermal_heat,-,hours,-,Input is replaced with separate inputs that are set when a custom profile for deep or shallow geothermal is uploaded.
June,Custom profiles,New,-,flh_of_geothermal_heat_deep_user_curve,-,hours,"New input that is automatically set when a custom profile for deep geothermal is uploaded, and should thus not be set manually"
June,Custom profiles,New,-,flh_of_geothermal_heat_shallow_user_curve,-,hours,"New input that is automatically set when a custom profile for shallow geothermal is uploaded, and should thus not be set manually"
February,WTP,Changed,wtp_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,-,euro,euro,Migrated functionality of external coupling inputs to regular inputs for WTP
